condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
target_sentence_shuffle,22,10,0.7091604285592924,4483.69088196444,2100.2004115023187,0.00048153468366693983,48484.33877331056,51306.60709323848,1.0625606909982885
target_sentence_shuffle,23,10,0.7753245048595447,4570.177182263066,2590.0780032065354,0.000559200535985005,56085.747676633975,58757.94674389963,1.0544607078852664
target_sentence_shuffle,24,10,0.8798525872919407,3853.2207688621506,1712.6634661691835,0.0008075320953584653,62527.239254901746,62226.197914095676,0.9997288769498258
target_sentence_shuffle,25,10,0.926021129210535,3902.2627681204845,1152.1979063252675,0.0009416131083595624,65829.73737294166,64769.94680127606,0.9880444884202305
target_sentence_shuffle,26,10,0.9669339679462713,3530.4028220531713,680.1832500344008,0.0010870812331676637,66306.46510168762,66836.60134075854,1.010277297667941
target_sentence_shuffle,27,10,0.979503565512327,3938.001604823331,828.8764676879098,0.0014041065699506917,67944.04373530996,67502.58234949486,0.9959785180630846
target_sentence_shuffle,28,10,0.9528959319709276,5159.311797913051,1896.9860620340414,0.001842373266796382,69338.08379904262,66573.71343127944,0.9612485718534554
target_sentence_shuffle,29,10,0.9314470891732339,6983.348865654632,2731.1799180590524,0.002218222489783206,73726.94322133138,68796.30814502838,0.9349116134358351
target_sentence_shuffle,30,10,0.9293384840626809,7236.870213604106,2868.1104614151245,0.0027345803645128066,72719.962940257,68041.80820573309,0.9386727763806958
target_sentence_shuffle,31,10,0.8778964718065785,9792.147213815248,4514.234947360313,0.003224165014909963,73998.45059232737,66177.80217108587,0.8988650172821855
target_sentence_shuffle,32,10,0.885084070779943,10187.483951561579,4506.915452487246,0.003716520462326345,74993.64138002845,67033.52272025481,0.8985515907221702
target_sentence_shuffle,33,10,0.893087910365701,10380.280192138967,4502.844210598957,0.004174199776218279,76395.156142662,68663.82021684576,0.9041374354421684
target_sentence_shuffle,34,10,0.8976649458068232,10958.055424505128,4645.130673529114,0.004716491664670241,79956.38959148969,72154.45993461387,0.9080314651436259
target_sentence_shuffle,35,10,0.868319028736265,13451.33613630746,5742.342396305552,0.004515999773053459,90236.9081855289,79776.4887450081,0.8896706976871946
target_sentence_shuffle,36,10,0.8901224020306815,14485.384882901173,5793.049614846065,0.005508826597201211,91567.84012861522,80719.38292966105,0.888886434088653
target_sentence_shuffle,37,10,0.9103290034250759,18909.88162704641,7055.223518608924,0.005782918950483029,101073.42456694807,85414.35029095775,0.8542058733348099
target_sentence_shuffle,38,10,0.9107045527215654,21196.116611442678,7660.169889787441,0.005924002308444432,107987.73377034238,90048.87802960596,0.8429701758173034
target_sentence_shuffle,39,10,0.9099550240265639,23203.60058600235,8238.410668334012,0.00605332126861805,115401.21886257411,95606.25632331106,0.8372311204920517
target_sentence_shuffle,40,10,0.9096008473582445,25472.559884195445,8631.364232822942,0.006281032132747566,126024.19532107054,104130.4437228727,0.8328840124960903
target_sentence_shuffle,41,10,0.8965199558387518,27488.657043736785,8952.395750904532,0.005627484148389284,143087.94046934074,119435.37885809786,0.8394994348987629
target_sentence_shuffle,42,10,0.9014519897198384,32953.41458472448,10274.265178350446,0.005909235476210461,156267.78413182087,127035.49282451156,0.8173175993470398
target_sentence_shuffle,43,10,0.9194629669429843,34095.26399781212,9297.665792101747,0.006598546142790829,162247.76349167182,132407.32738068153,0.8188301345968847
target_sentence_shuffle,44,10,0.9360274141790169,37211.77160224877,8889.763092357314,0.0069512343628712284,174710.89888750156,142057.60020148318,0.8141198821234283
target_sentence_shuffle,45,10,0.9472882665590905,37420.49016729704,7902.434844634585,0.007341046526963757,187011.78094758734,155388.05540720758,0.8304048826011619
